date,model,tier,ebay_avg_price_usd,data_source,lhr
2021-04-01,RTX 3070,XX70,1270.0,Tom's Hardware / PCMag / 3D Center,0
2021-04-01,RTX 3080,XX80,2280.0,Tom's Hardware / PCMag / 3D Center,0
2021-04-01,RTX 3090,XX90,3100.0,Tom's Hardware / PCMag / 3D Center,0
2021-05-01,RTX 3060,XX60,900.0,Tom's Hardware / PCMag / 3D Center,0
2021-05-01,RTX 3060 Ti,XX60,1250.0,Tom's Hardware / PCMag / 3D Center,0
2021-05-01,RTX 3060 Ti LHR,XX60,825.0,TechSpot / Tom's Hardware — range $700-$950 (midpoint used),1
2021-05-01,RTX 3070,XX70,1300.0,Tom's Hardware / PCMag / 3D Center,0
2021-05-01,RTX 3080,XX80,2400.0,Tom's Hardware / PCMag / 3D Center,0
2021-05-01,RTX 3090,XX90,3200.0,Tom's Hardware / PCMag / 3D Center,0
2021-06-01,RTX 3060,XX60,874.0,Tom's Hardware / PCMag / 3D Center,0
2021-06-01,RTX 3060 Ti,XX60,1238.0,Tom's Hardware / PCMag / 3D Center,0
2021-06-01,RTX 3060 Ti LHR,XX60,875.0,TechSpot / Tom's Hardware — range $750-$1000 (midpoint used),1
2021-06-01,RTX 3070,XX70,1300.0,Tom's Hardware / PCMag / 3D Center,0
2021-06-01,RTX 3070 LHR,XX70,1000.0,TechSpot / Tom's Hardware — range $850-$1150 (midpoint used),1
2021-06-01,RTX 3080,XX80,1978.0,Tom's Hardware / PCMag / 3D Center,0
2021-06-01,RTX 3080 LHR,XX80,1400.0,TechSpot / Tom's Hardware — range $1250-$1550 (midpoint used),1
2021-06-01,RTX 3090,XX90,3002.0,Tom's Hardware / PCMag / 3D Center,0
2021-07-01,RTX 3060,XX60,718.0,Tom's Hardware / PCMag / 3D Center,0
2021-07-01,RTX 3060 Ti,XX60,981.0,Tom's Hardware / PCMag / 3D Center,0
2021-07-01,RTX 3060 Ti LHR,XX60,925.0,TechSpot / Tom's Hardware — range $800-$1050 (midpoint used),1
2021-07-01,RTX 3070,XX70,1063.0,Tom's Hardware / PCMag / 3D Center,0
2021-07-01,RTX 3070 LHR,XX70,1025.0,TechSpot / Tom's Hardware — range $900-$1150 (midpoint used),1
2021-07-01,RTX 3070 Ti,XX70,1096.0,Tom's Hardware / PCMag / 3D Center,0
2021-07-01,RTX 3080,XX80,1636.0,Tom's Hardware / PCMag / 3D Center,0
2021-07-01,RTX 3080 LHR,XX80,1475.0,TechSpot / Tom's Hardware — range $1350-$1600 (midpoint used),1
2021-07-01,RTX 3080 Ti,XX80,1886.0,Tom's Hardware / PCMag / 3D Center,0
2021-07-01,RTX 3090,XX90,2483.0,Tom's Hardware / PCMag / 3D Center,0
2021-08-01,RTX 3060,XX60,723.0,Tom's Hardware / PCMag / 3D Center,0
